stencil_value,cat_id,cat_name,color
1,4094,Out environment,153 108 6
2,1002,Beds,112 105 191
3,1012,Shelf,89 121 72
4,1014,Bookshelves,190 225 64
5,1019,Cabinet,206 190 59
6,1032,Table,81 13 36
7,1034,Desk,115 176 195
8,1035,Dining table,161 171 27
9,1052,Chair,135 169 180
10,1056,Stool,29 26 199
11,1058,Bench,102 16 239
12,1068,Sofa,242 107 146
13,1077,Screens,156 198 23
14,1078,Other furniture,49 89 160
15,1080,Carpet,68 218 116
16,1081,Cushion,11 236 9
17,1083,Piano,196 30 8
18,1087,Bicycle,121 67 28
19,1089,Bedding,0 53 65
20,1091,pillow,146 52 70
21,1094,Curtain,226 149 143
22,1098,throw pillow,151 126 171
23,1102,Tablecloth,194 39 7
24,1108,Painting,205 120 161
25,1118,Other Light,212 51 60
26,1119,Table Lamp,211 80 208
27,1120,Chandelier,189 135 188
28,1121,Ceiling mounted lamp,54 72 205
29,1122,Wall lights,103 252 157
30,1123,Spotlight/Downlight,124 21 123
31,1124,Floor Lamp,19 132 69
32,1128,Cookware,195 237 132
33,1129,Tooling,94 253 175
34,1130,Dining car,182 251 87
35,1131,Other Cooker,90 162 242
36,1133,Bowl,199 29 1
37,1134,Chopsticks,254 12 229
38,1135,Cup,35 196 244
39,1136,Plate,220 163 49
40,1137,Tea set,86 254 214
41,1138,Wine set,152 3 129
42,1139,Other Kitchenware,92 31 106
43,1142,TV,207 229 90
44,1144,Air Conditioner,125 75 48
45,1145,Fridge,98 55 74
46,1146,Washing machine,126 129 238
47,1148,Electric fan,222 153 109
48,1149,Water Coolers,85 152 34
49,1150,Air purifier,173 69 31
50,1151,Sound,37 128 125
51,1152,Hanging ironing machine,58 19 33
52,1153,Heater,134 57 119
53,1154,Vacuum cleaner,218 124 115
54,1155,Ceiling fan,120 0 200
55,1156,Sweeping robot,225 131 92
56,1158,Smoke exhaust ventilator,246 90 16
57,1159,Water heater,51 155 241
58,1160,Induction cooker,202 97 155
59,1161,Microwave oven,184 145 182
60,1162,Bread machine,96 232 44
61,1163,Kettle,133 244 133
62,1164,Juice Maker,180 191 29
63,1165,Coffee maker,1 222 192
64,1166,Dishwasher,99 242 104
65,1167,Built-in oven,91 168 219
66,1168,Electric cooker,65 54 217
67,1169,Other household appliances,148 66 130
68,1171,Storage,203 102 204
69,1172,Toys,216 78 75
70,1173,Daily Equipment,234 20 250
71,1174,Office supplies,109 206 24
72,1177,Flowers and plants,164 194 17
73,1187,Bookends,157 23 236
74,1188,Pendants,158 114 88
75,1189,Wall decoration,245 22 110
76,1190,Tray,67 17 35
77,1191,Ornament,181 213 93
78,1198,Clock,170 179 42
79,1199,Menorah,52 187 148
80,1200,Picture frame,247 200 111
81,1201,Flower ware,25 62 174
82,1204,Decorative box,100 25 240
83,1205,Mirror,191 195 144
84,1211,Sculpture,252 36 67
85,1212,Aromatherapy,241 77 149
86,1213,Other Aromatherapy,237 33 141
87,1216,Door,119 230 85
88,1221,Window,28 34 108
89,1226,Ground,78 98 254
90,1227,Floor,114 161 30
91,1234,Wall,75 50 243
92,1238,Ceiling,66 226 253
93,1239,Stairs,46 104 76
94,1241,Inter-platform basin,8 234 216
95,1242,Closestool,15 241 102
96,1243,The toilet,93 14 71
97,1244,Bathtub,192 255 193
98,1245,Mop pool,253 41 164
99,1246,Other Bathroom products,24 175 120
100,1247,Avatar,185 243 231
101,1248,Character,169 233 97
102,1255,Cat,243 215 145
103,1256,Dog,72 137 21
104,1257,Other pets,160 113 101
105,1259,Pillar,214 92 13
106,1260,Other Hardware Decoration,167 140 147
107,1261,Knife,101 109 181
108,1262,Spoon,53 118 126
109,1263,Fork,3 177 32
110,1904,Beam,40 63 99
111,1914,Light strip,186 139 153
112,4095,Unknown,88 207 100
113,4093,Door Handle,71 146 227